ppm,air_quality
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
27,normal
